시군구,번지,단지명,전용면적(㎡),계약년월,거래금액,층,건축년도,도로명,전용평,전용평당,공급평당,위도,경도
부산광역시 동래구 낙민동,172,한양,96.4,202507.0,49000.0,7.0,1980.0,충렬대로 314,29.16,1680.38,1260.28,37.53130984,127.0910668
부산광역시 연제구 거제동,1530,쌍용더플래티넘거제아시아드,84.805,202507.0,72000.0,15.0,2023.0,아시아드대로 7,25.65,2807.02,2105.27,35.18610115,129.0694596
부산광역시 기장군 정관읍 용수리,1387,정관동일스위트1차,84.9971,202507.0,29000.0,13.0,2012.0,정관4로 24,25.71,1127.97,845.98,35.3250819627634,129.170299506937
부산광역시 금정구 부곡동,235-5,우신뉴타운,59.82,202507.0,22500.0,18.0,1995.0,중앙대로1667번길 8,18.1,1243.09,932.32,35.23406337,129.0906225
부산광역시 사상구 모라동,1362,우신모라,47.37,202507.0,10000.0,10.0,1992.0,백양대로 880,14.33,697.84,523.38,35.1839281,128.991964
부산광역시 연제구 연산동,2352,연산더샵,74.9041,202507.0,54000.0,2.0,2019.0,연수로 130,22.66,2383.05,1787.29,35.1734591,129.0845032
부산광역시 사상구 엄궁동,680-1,코오롱,59.94,202507.0,15500.0,14.0,1999.0,엄궁로 142,18.13,854.94,641.2,37.60636291,127.0656862
부산광역시 강서구 명지동,3415,명지국제신도시호반베르디움1차,74.8162,202507.0,41000.0,2.0,2016.0,명지국제5로 29,22.63,1811.75,1358.81,35.0961151515237,128.917897059642
부산광역시 북구 화명동,1150,동원로얄듀크,84.9949,202507.0,36000.0,14.0,2004.0,금곡대로 228,25.71,1400.23,1050.17,35.19292342,129.0978158
부산광역시 동래구 온천동,1838,동래효성해링턴플레이스,84.6112,202507.0,56900.0,8.0,2019.0,아시아드대로255번길 14,25.59,2223.52,1667.64,35.20753741,129.0680561
부산광역시 강서구 명지동,3361,에일린의 뜰,84.995,202507.0,44400.0,3.0,2015.0,명지국제5로 60,25.71,1726.95,1295.21,35.09272915,129.0483273
부산광역시 부산진구 부암동,751,협성휴포레시티즌파크,84.9712,202507.0,47800.0,28.0,2020.0,동평로 173,25.7,1859.92,1394.94,35.1663353864209,129.047379332513
부산광역시 사하구 신평동,669,사하뷰웰,74.96,202507.0,23350.0,8.0,2016.0,신산북로43번길 59,22.68,1029.54,772.16,35.0948561325281,128.97132365794
부산광역시 수영구 남천동,595,남천금호어울림더비치,84.94,202507.0,81800.0,3.0,2019.0,남천동로 91,25.69,3184.12,2388.09,35.14443902,129.1122027
부산광역시 부산진구 범천동,1055-1,서면라이포레,50.0095,202507.0,22300.0,6.0,2017.0,신천대로165번길 10,15.13,1473.89,1105.42,35.1564570853836,129.050139371549
부산광역시 연제구 연산동,2362,시청역비스타동원,84.989,202507.0,59500.0,13.0,2019.0,연제로 30,25.71,2314.27,1735.7,35.17894835,129.077243
부산광역시 금정구 구서동,1078,구서역두산위브포세이돈,74.9395,202507.0,44500.0,5.0,2020.0,금정로233번길 63,22.67,1962.95,1472.21,35.24751696,129.0905532
부산광역시 동래구 안락동,15-26,안락현대,84.83,202507.0,32000.0,6.0,2001.0,삼어로 9,25.66,1247.08,935.31,35.20022279,129.1137446
부산광역시 북구 화명동,2306,대림쌍용강변타운,84.92,202507.0,44200.0,6.0,2004.0,화명신도시로 39,25.69,1720.51,1290.38,35.22666765,129.0080332
부산광역시 남구 대연동,282-1,대연극동StarClass,59.73,202507.0,21800.0,2.0,2002.0,진남로36번길 50,18.07,1206.42,904.82,35.1404856640204,129.091580048894
부산광역시 남구 대연동,1893,대연파크푸르지오,84.9866,202507.0,55300.0,15.0,2018.0,홍곡로 360,25.71,2150.91,1613.18,35.1253456097927,129.090820034146
부산광역시 동래구 낙민동,94-1,동원로얄듀크,59.955,202507.0,29400.0,15.0,1998.0,온천천로399번길 14,18.14,1620.73,1215.55,35.19292342,129.0978158
부산광역시 서구 남부민동,685,현대타운,84.45,202507.0,27500.0,8.0,1999.0,충무대로 246,25.55,1076.32,807.24,35.092666523009,129.024416038767
부산광역시 북구 화명동,2262,대우이안,59.9011,202507.0,34900.0,4.0,2002.0,화명신도시로 145,18.12,1926.05,1444.54,35.2371706524696,129.009954863836
부산광역시 연제구 연산동,2352,연산더샵,59.8812,202507.0,51700.0,7.0,2019.0,연수로 130,18.11,2854.78,2141.08,35.1734591,129.0845032
부산광역시 부산진구 당감동,447-3,"삼익(10,11동)",79.95,202507.0,36500.0,9.0,1978.0,당감로 17,24.18,1509.51,1132.13,35.1619817959221,129.039811080995
부산광역시 기장군 정관읍 매학리,723,정관2차동원로얄듀크,84.999,202507.0,33900.0,2.0,2013.0,정관5로 12,25.71,1318.55,988.91,35.3194888818563,129.174541443359
부산광역시 해운대구 우동,938,롯데,84.84,202507.0,58000.0,11.0,1993.0,해운대로483번길 10,25.66,2260.33,1695.25,35.1634441587193,129.147619699842
부산광역시 해운대구 우동,1408,해운대 I PARK,157.513,202507.0,202000.0,24.0,2011.0,마린시티2로 38,47.65,4239.24,3179.43,35.157037795554,129.143328681551
부산광역시 남구 용호동,176-30,엘지메트로시티4-2(230~238),84.888,202507.0,57000.0,24.0,2003.0,분포로 113,25.68,2219.63,1664.72,35.1272669147748,129.109040555258
부산광역시 부산진구 개금동,455,엘지신개금(2-1),59.99,202507.0,22500.0,16.0,1998.0,백양대로300번길 20,18.15,1239.67,929.75,35.1550481097082,129.019243033247
부산광역시 수영구 광안동,378-6,누원아트빌,53.95,202507.0,16500.0,5.0,2002.0,수영로545번가길 14-3,16.32,1011.03,758.27,35.1540750865664,129.111487486192
부산광역시 기장군 기장읍 동부리,151-5,한신,59.85,202507.0,14400.0,21.0,1995.0,차성로344번길 13,18.1,795.58,596.68,35.2493631712845,129.215284345882
부산광역시 수영구 광안동,142-6,광안협성엠파이어Ⅱ,50.7624,202507.0,30000.0,18.0,2013.0,수영로588번길 7,15.36,1953.12,1464.84,35.1583516793015,129.113652288614
부산광역시 사하구 신평동,674,사하코오롱하늘채,59.9307,202507.0,25000.0,2.0,2021.0,신산북로 41,18.13,1378.93,1034.2,35.09221648435,128.968189299826
부산광역시 기장군 정관읍 용수리,1275,정관양우내안愛,59.8986,202507.0,20300.0,3.0,2016.0,정관5로 144,18.12,1120.31,840.23,35.329047160766,129.179471975619
부산광역시 기장군 정관읍 용수리,1387,정관동일스위트1차,84.8734,202507.0,29000.0,6.0,2012.0,정관4로 24,25.67,1129.72,847.29,35.3250819627634,129.170299506937
부산광역시 기장군 일광읍 삼성리,773,e편한세상일광,84.9868,202507.0,48500.0,3.0,2020.0,해빛2로 21,25.71,1886.43,1414.82,35.2690584434882,129.226184066487
부산광역시 해운대구 반여동,1638,아시아선수촌아파트,101.55,202507.0,50500.0,13.0,2002.0,선수촌로 122,30.72,1643.88,1232.91,35.203871411036,129.121681336433
부산광역시 금정구 구서동,1053,구서동쌍용예가1단지,157.7983,202507.0,80000.0,16.0,2010.0,금샘로 261,47.73,1676.09,1257.07,35.245825554718,129.085082590794
부산광역시 동래구 안락동,1242,안락뜨란채2단지,84.92,202507.0,43800.0,8.0,2005.0,연안로 74,25.69,1704.94,1278.7,35.1927417818779,129.110161293431
부산광역시 해운대구 반여동,1682,해운대센텀트루엘1단지,59.9663,202507.0,31800.0,23.0,2019.0,삼어로133번나길 17,18.14,1753.03,1314.77,35.207635823241,129.118658128895
부산광역시 해운대구 좌동,1448,경남선경,116.25,202507.0,50000.0,10.0,1996.0,청사포로 27,35.17,1421.67,1066.25,35.1665220867177,129.18642275724
부산광역시 해운대구 좌동,1286,대림2,59.816,202507.0,35000.0,16.0,1997.0,대천로103번길 9,18.09,1934.77,1451.08,35.1748121460862,129.172437294306
부산광역시 해운대구 좌동,1286,대림2,84.974,202507.0,55000.0,22.0,1997.0,대천로103번길 9,25.7,2140.08,1605.06,35.1748121460862,129.172437294306
부산광역시 부산진구 전포동,908,서면아이파크1단지,84.9385,202507.0,67000.0,23.0,2021.0,동성로 50,25.69,2608.02,1956.02,35.1551400379108,129.068740212481
부산광역시 북구 덕천동,802,덕천주공1,38.64,202507.0,7800.0,7.0,1991.0,덕천로 72,11.69,667.24,500.43,35.2063338690432,129.012317564896
부산광역시 동래구 온천동,1850,동래3차SKVIEW,84.881,202507.0,59000.0,31.0,2021.0,온천장로65번길 9,25.68,2297.51,1723.13,35.2164407285619,129.07979446266
부산광역시 연제구 연산동,2262,연산자이,121.6761,202507.0,65500.0,26.0,2010.0,과정로343번길 43,36.81,1779.41,1334.56,35.1879047554378,129.089788256589
부산광역시 사하구 다대동,1550,몰운대,49.08,202507.0,9800.0,19.0,1996.0,다대낙조2길 12,14.85,659.93,494.95,35.0516293768853,128.966106194759
부산광역시 강서구 명지동,3404,더힐시그니처,91.6395,202507.0,64500.0,12.0,2019.0,명지국제7로 110,27.72,2326.84,1745.13,35.0959304769464,128.913268117194
부산광역시 북구 만덕동,960,더 래디언트 금정산,59.98,202507.0,32050.0,17.0,2019.0,상학로 35,18.14,1766.81,1325.11,35.2150395342966,129.03721493208
부산광역시 북구 만덕동,955,백양디이스트(1단지),72.2358,202507.0,25000.0,3.0,2015.0,덕천로276번길 60,21.85,1144.16,858.12,35.2058687951711,129.033190025409
부산광역시 사하구 신평동,437,삼창강변1,84.6,202507.0,16900.0,21.0,1998.0,비봉로 37,25.59,660.41,495.31,35.0976218572642,128.965165007772
부산광역시 사하구 신평동,674,사하코오롱하늘채,59.9513,202507.0,25500.0,11.0,2021.0,신산북로 41,18.14,1405.73,1054.3,35.09221648435,128.968189299826
부산광역시 부산진구 전포동,927,e편한세상시민공원1단지,59.9865,202507.0,55700.0,24.0,2023.0,진남로 455,18.15,3068.87,2301.65,35.1663369587468,129.068850570712
부산광역시 사하구 하단동,717-1,하단청구,173.33,202507.0,45000.0,1.0,1999.0,낙동대로520번길 14,52.43,858.29,643.72,35.1109308014316,128.966995833185
부산광역시 수영구 남천동,10-2,금양아이파크,51.5883,202507.0,24000.0,12.0,2017.0,남천동로9번길 38,15.61,1537.48,1153.11,35.1441830904505,129.110817485788
부산광역시 기장군 정관읍 모전리,723,이지더원,84.7808,202507.0,24000.0,2.0,2011.0,정관1로 18,25.65,935.67,701.75,35.339608265985,129.163228660489
부산광역시 기장군 정관읍 모전리,776,정관동일스위트2차,84.9864,202507.0,26500.0,6.0,2013.0,정관3로 23,25.71,1030.73,773.05,35.3284797639747,129.165298856214
부산광역시 기장군 정관읍 모전리,776,정관동일스위트2차,59.9337,202507.0,17000.0,2.0,2013.0,정관3로 23,18.13,937.67,703.25,35.3284797639747,129.165298856214
부산광역시 사상구 엄궁동,726,롯데캐슬,101.1115,202507.0,43000.0,14.0,2010.0,엄궁북로 61,30.59,1405.69,1054.27,35.128185056879,128.97728244533
부산광역시 북구 화명동,1170-1,대림타운,59.8,202507.0,18000.0,24.0,1999.0,금곡대로 268,18.09,995.02,746.26,35.2314080166544,129.015133073984
부산광역시 영도구 청학동,62-60,한라비치,59.71,202507.0,12500.0,14.0,1994.0,태종로 428,18.06,692.14,519.1,35.0892915085618,129.067871065438
부산광역시 연제구 연산동,2382,힐스테이트연산,84.9696,202507.0,62000.0,20.0,2021.0,봉수로 2,25.7,2412.45,1809.34,35.1733598113329,129.088872461001
부산광역시 연제구 연산동,2311,더샵파크시티,69.93,202507.0,53800.0,5.0,2015.0,안연로 33,21.15,2543.74,1907.8,35.1920267807262,129.095534227204
부산광역시 연제구 연산동,2298,연산경동메르빌,87.9393,202507.0,47000.0,29.0,2013.0,연수로 110,26.6,1766.92,1325.19,35.1747548706191,129.082616929723
부산광역시 사하구 다대동,120-10,삼환,59.76,202507.0,17800.0,6.0,1996.0,다대로429번길 20,18.08,984.51,738.38,35.0617575665852,128.981626579868
부산광역시 사하구 다대동,1624,다대동롯데캐슬몰운대,59.9115,202507.0,18000.0,14.0,2007.0,다대낙조2길 100,18.12,993.38,745.04,35.0553797809279,128.964833086021
부산광역시 기장군 정관읍 매학리,723,정관2차동원로얄듀크,84.9993,202507.0,35500.0,6.0,2013.0,정관5로 12,25.71,1380.79,1035.59,35.3194888818563,129.174541443359
부산광역시 부산진구 부암동,500,화승,59.8,202507.0,22000.0,7.0,1997.0,당감로 80,18.09,1216.14,912.1,35.1683192974432,129.038946135466
부산광역시 부산진구 부암동,63-3,쌍용스윗닷홈스카이,84.98,202507.0,46000.0,37.0,2007.0,시민공원로 11,25.71,1789.19,1341.89,35.1634984252679,129.050697797136
부산광역시 사상구 모라동,552,백양그린,49.94,202507.0,10500.0,7.0,1992.0,모라로110번길 88,15.11,694.9,521.18,35.1827483234958,128.99375110875
부산광역시 수영구 광안동,1330,쌍용예가디오션,84.9833,202507.0,93000.0,18.0,2014.0,광안로 20,25.71,3617.27,2712.95,35.1560597268621,129.114667093976
부산광역시 남구 문현동,1255,오션파라곤아파트,72.9781,202507.0,36000.0,17.0,2022.0,우암로 300,22.08,1630.43,1222.82,35.1298403579976,129.068032658048
부산광역시 남구 문현동,73-1,현대,84.846,202507.0,25000.0,7.0,1998.0,진남로198번길 9-1,25.67,973.9,730.43,35.144451503065,129.079619953916
부산광역시 동래구 온천동,1412-1,반도보라스카이뷰,84.8813,202507.0,54500.0,30.0,2006.0,아시아드대로 234,25.68,2122.27,1591.7,35.2039470982169,129.069040555868
부산광역시 사하구 괴정동,1286,괴정한신더휴,84.857,202507.0,44000.0,16.0,2022.0,사리로 106,25.67,1714.06,1285.55,35.1076784658799,128.998897634279
부산광역시 사하구 당리동,532,협진태양,44.23,202507.0,8500.0,2.0,1982.0,다대로 30,13.38,635.28,476.46,35.0985223501239,128.976938758993
부산광역시 수영구 남천동,148-4,삼익비치,115.6,202507.0,139000.0,10.0,1981.0,광안해변로 100,34.97,3974.84,2981.13,35.1437530945303,129.115366260128
부산광역시 부산진구 부전동,537-9,더샵센트럴스타,119.088,202507.0,60000.0,10.0,2011.0,중앙대로666번길 50,36.02,1665.74,1249.3,35.151843130536,129.060303359759
부산광역시 수영구 남천동,44-18,뉴하이츠빌라,147.24,202507.0,43000.0,5.0,1998.0,수영로481번길 6,44.54,965.42,724.06,35.1492635069106,129.109773763894
부산광역시 연제구 거제동,1029-2,동원타워,84.98,202507.0,36000.0,3.0,1996.0,월드컵대로243번길 19,25.71,1400.23,1050.17,35.1893465707782,129.069974084203
부산광역시 북구 금곡동,56-1,벽산삼협한솔,85.995,202507.0,23900.0,8.0,1995.0,효열로 265,26.01,918.88,689.16,35.2660364322743,129.018303147659
부산광역시 북구 만덕동,960,더 래디언트 금정산,59.99,202507.0,32600.0,22.0,2019.0,상학로 35,18.15,1796.14,1347.1,35.2150395342966,129.03721493208
부산광역시 서구 서대신동2가,570,대신푸르지오2차,84.9287,202507.0,60000.0,18.0,2021.0,고운들로 181,25.69,2335.54,1751.66,35.1084567309889,129.013588861488
부산광역시 사상구 주례동,1288,주례경동리인,67.7557,202507.0,30300.0,24.0,2017.0,백양대로 526,20.5,1478.05,1108.54,35.1557931167053,128.995991051558
부산광역시 해운대구 반여동,1662,메가센텀한화꿈에그린,84.9793,202507.0,51000.0,11.0,2008.0,반여로 67,25.71,1983.66,1487.74,35.198078585653,129.122082174336
